operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-12 04:00:00,wy7vt80m,41.0,36.124,129.266,경상북도,포항시 북구,신광면,0.0026591766524289915
2024-06-22 05:00:00,wy7vx44n,41.0,36.135,129.334,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-22 05:00:00,wy7vwfxg,41.0,36.137,129.331,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-22 05:00:00,wy7vx42r,41.0,36.137,129.332,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-22 05:00:00,wy7vwfxm,40.5,36.138,129.33,경상북도,포항시 북구,흥해읍,0.0026259369442736295
2024-06-22 05:00:00,wy7vwfxs,39.5,36.138,129.331,경상북도,포항시 북구,흥해읍,0.0025594575279629045
2024-06-05 04:00:00,wy7vwfvs,41.5,36.139,129.328,경상북도,포항시 북구,흥해읍,0.002692416360584354
2024-06-25 05:00:00,wy7vz1nv,40.0,36.173,129.34,경상북도,포항시 북구,청하면,0.002592697236118267
2024-06-25 05:00:00,wy7vz1qc,41.0,36.174,129.34,경상북도,포항시 북구,청하면,0.0026591766524289915
2024-06-25 05:00:00,wy7ypdeq,40.0,36.226,129.358,경상북도,포항시 북구,송라면,0.002592697236118267
